Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28124021,MALARIA_1STLINE_TREATED,COUNTRY,AGO,YEAR,2018,6 092 332,6092332,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124022,MALARIA_1STLINE_TREATED,COUNTRY,BDI,YEAR,2019,8 444 710,8444710,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124023,MALARIA_1STLINE_TREATED,COUNTRY,BEN,YEAR,2019,2 353 657,2353657,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124024,MALARIA_1STLINE_TREATED,COUNTRY,BFA,YEAR,2020,10 237 424,10237424,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124025,MALARIA_1STLINE_TREATED,COUNTRY,BWA,YEAR,2019,272,272,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124026,MALARIA_1STLINE_TREATED,COUNTRY,CAF,YEAR,2019,2 654 215,2654215,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124027,MALARIA_1STLINE_TREATED,COUNTRY,CIV,YEAR,2019,5 200 350,5200350,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124028,MALARIA_1STLINE_TREATED,COUNTRY,CMR,YEAR,2019,1 834 114,1834114,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124029,MALARIA_1STLINE_TREATED,COUNTRY,COD,YEAR,2020,19 192 708,19192708,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124030,MALARIA_1STLINE_TREATED,COUNTRY,CPV,YEAR,2020,10,10,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124031,MALARIA_1STLINE_TREATED,COUNTRY,ETH,YEAR,2019,1 015 792,1015792,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124032,MALARIA_1STLINE_TREATED,COUNTRY,GIN,YEAR,2020,1 831 203,1831203,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124033,MALARIA_1STLINE_TREATED,COUNTRY,GMB,YEAR,2018,90 622,90622,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124034,MALARIA_1STLINE_TREATED,COUNTRY,GNB,YEAR,2019,155 848,155848,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124035,MALARIA_1STLINE_TREATED,COUNTRY,NAM,YEAR,2020,13 636,13636,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124036,MALARIA_1STLINE_TREATED,COUNTRY,NER,YEAR,2018,2 891 780,2891780,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124037,MALARIA_1STLINE_TREATED,COUNTRY,NGA,YEAR,2018,15 853 741,15853741,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124038,MALARIA_1STLINE_TREATED,COUNTRY,RWA,YEAR,2019,3 566 544,3566544,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124039,MALARIA_1STLINE_TREATED,COUNTRY,STP,YEAR,2019,2 457,2457,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124040,MALARIA_1STLINE_TREATED,COUNTRY,SWZ,YEAR,2019,586,586,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124041,MALARIA_1STLINE_TREATED,COUNTRY,UGA,YEAR,2019,28 847 873,28847873,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124042,MALARIA_1STLINE_TREATED,COUNTRY,ZAF,YEAR,2020,20 190,20190,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124043,MALARIA_1STLINE_TREATED,COUNTRY,ZMB,YEAR,2019,19 134 471,19134471,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124044,MALARIA_1STLINE_TREATED,COUNTRY,BLZ,YEAR,2019,2,2,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124045,MALARIA_1STLINE_TREATED,COUNTRY,BOL,YEAR,2020,12 093,12093,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124046,MALARIA_1STLINE_TREATED,COUNTRY,ECU,YEAR,2020,2 001,2001,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124047,MALARIA_1STLINE_TREATED,COUNTRY,GTM,YEAR,2020,1 058,1058,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124048,MALARIA_1STLINE_TREATED,COUNTRY,GUY,YEAR,2018,7 814,7814,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124049,MALARIA_1STLINE_TREATED,COUNTRY,HTI,YEAR,2019,10 687,10687,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124050,MALARIA_1STLINE_TREATED,COUNTRY,MEX,YEAR,2019,12,12,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124051,MALARIA_1STLINE_TREATED,COUNTRY,NIC,YEAR,2020,25 530,25530,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124052,MALARIA_1STLINE_TREATED,COUNTRY,PAN,YEAR,2020,1 582,1582,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124053,MALARIA_1STLINE_TREATED,COUNTRY,VEN,YEAR,2020,231 384,231384,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124054,MALARIA_1STLINE_TREATED,COUNTRY,AFG,YEAR,2020,103 466,103466,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124055,MALARIA_1STLINE_TREATED,COUNTRY,DJI,YEAR,2020,69 029,69029,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124056,MALARIA_1STLINE_TREATED,COUNTRY,SAU,YEAR,2019,2 152,2152,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124057,MALARIA_1STLINE_TREATED,COUNTRY,SDN,YEAR,2019,4 297 167,4297167,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124058,MALARIA_1STLINE_TREATED,COUNTRY,SOM,YEAR,2020,23 978,23978,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124059,MALARIA_1STLINE_TREATED,COUNTRY,BTN,YEAR,2018,54,54,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124060,MALARIA_1STLINE_TREATED,COUNTRY,IDN,YEAR,2018,133 860,133860,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124061,MALARIA_1STLINE_TREATED,COUNTRY,IND,YEAR,2019,338 494,338494,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124062,MALARIA_1STLINE_TREATED,COUNTRY,THA,YEAR,2018,4 411,4411,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18
28124063,MALARIA_1STLINE_TREATED,COUNTRY,CHN,YEAR,2019,2 487,2487,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124064,MALARIA_1STLINE_TREATED,COUNTRY,KHM,YEAR,2020,9 335,9335,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20
28124065,MALARIA_1STLINE_TREATED,COUNTRY,KOR,YEAR,2019,196,196,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19
28124066,MALARIA_1STLINE_TREATED,COUNTRY,LAO,YEAR,2020,3 498,3498,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20
28124067,MALARIA_1STLINE_TREATED,COUNTRY,VNM,YEAR,2018,4 525,4525,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18
