Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28123901,MALARIA_ITN_COVERAGE,COUNTRY,BEN,YEAR,2020,69,69,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123902,MALARIA_ITN_COVERAGE,COUNTRY,CAF,YEAR,2019,75.2,75.2,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123903,MALARIA_ITN_COVERAGE,COUNTRY,CAF,YEAR,2020,67.6,67.6,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123904,MALARIA_ITN_COVERAGE,COUNTRY,CMR,YEAR,2019,69.4,69.4,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123905,MALARIA_ITN_COVERAGE,COUNTRY,COD,YEAR,2020,62.8,62.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123906,MALARIA_ITN_COVERAGE,COUNTRY,ERI,YEAR,2020,41.3,41.3,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123907,MALARIA_ITN_COVERAGE,COUNTRY,GAB,YEAR,2018,16.9,16.9,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123908,MALARIA_ITN_COVERAGE,COUNTRY,GHA,YEAR,2019,78.9,78.9,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123909,MALARIA_ITN_COVERAGE,COUNTRY,GHA,YEAR,2020,56.5,56.5,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123910,MALARIA_ITN_COVERAGE,COUNTRY,GIN,YEAR,2020,74.7,74.7,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123911,MALARIA_ITN_COVERAGE,COUNTRY,KEN,YEAR,2020,36.9,36.9,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123912,MALARIA_ITN_COVERAGE,COUNTRY,MOZ,YEAR,2018,65.2,65.2,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123913,MALARIA_ITN_COVERAGE,COUNTRY,MRT,YEAR,2018,44.6,44.6,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123914,MALARIA_ITN_COVERAGE,COUNTRY,MRT,YEAR,2019,12,12,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123915,MALARIA_ITN_COVERAGE,COUNTRY,MWI,YEAR,2018,73.1,73.1,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123916,MALARIA_ITN_COVERAGE,COUNTRY,MWI,YEAR,2019,71.5,71.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123917,MALARIA_ITN_COVERAGE,COUNTRY,NER,YEAR,2018,74.8,74.8,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123918,MALARIA_ITN_COVERAGE,COUNTRY,NER,YEAR,2019,76.3,76.3,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123919,MALARIA_ITN_COVERAGE,COUNTRY,SEN,YEAR,2018,48.2,48.2,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123920,MALARIA_ITN_COVERAGE,COUNTRY,SEN,YEAR,2019,73.4,73.4,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
